ชื่อกลุ่ม,อายุหัวหน้ากลุ่ม,รายได้หัวหน้ากลุ่ม,อาชีพหัวหน้ากลุ่ม,ประเภทรายได้หัวหน้ากลุ่ม
อัสฮาบุลยันนะฮฺ1,46.0,17800.0,ข้าราชการ/รัฐวิสาหกิจ,1
ลุตฟีบุดี,42.0,6000.0,รับจ้าง/ลูกจ้างทั่วไป,0
อาดีลัน,29.0,5000.0,รับจ้าง/ลูกจ้างทั่วไป,0
มาวัดดะห์ ตะโละอาโหร์,48.0,7500.0,รับจ้าง/ลูกจ้างทั่วไป,0
ญาติ ๆ กัน,42.0,35000.0,ข้าราชการ/รัฐวิสาหกิจ,1
เยาวชนตันหยง,35.0,10000.0,ข้าราชการ/รัฐวิสาหกิจ,1
นูรียะห์สะมาลา,37.0,8500.0,ไม่ระบุอาชีพ,0
ปาเระ,68.0,30000.0,ค้าขาย/ธุรกิจส่วนตัว,0
ปายอ,42.0,11000.0,อาชีพอิสระ/งานบริการ,0
ส่งเสริมคุณภาพชิวิตมุสลิมA,61.0,5000.0,ค้าขาย/ธุรกิจส่วนตัว,0
สมาณท่าด่าน,49.0,9000.0,ค้าขาย/ธุรกิจส่วนตัว,0
เจะอาแซ,63.0,5000.0,เกษตรกรรม,0
ตาแกะ,40.0,25000.0,ค้าขาย/ธุรกิจส่วนตัว,0
ดะวะตุลฮัก ตันหยงลุโละ,37.0,8500.0,ไม่ระบุอาชีพ,0
ยูนิตี้ กรุ๊ป (1436),37.0,8500.0,ไม่ระบุอาชีพ,0
ยูนิตี้ เอเชีย รีเทล จำกัด,37.0,8500.0,ไม่ระบุอาชีพ,0
ตาเซะอามานะห์,33.0,8500.0,อาชีพอิสระ/งานบริการ,0
นิเเมมาดีน่า,41.0,40000.0,ค้าขาย/ธุรกิจส่วนตัว,0
อบต.กระเสาะ,37.0,8500.0,ไม่ระบุอาชีพ,0
เเม่ลานอามานะห์,40.0,6000.0,ค้าขาย/ธุรกิจส่วนตัว,0
นาวาล,37.0,8500.0,ไม่ระบุอาชีพ,0
กะดะห์ ราแดง,47.0,8000.0,รับจ้าง/ลูกจ้างทั่วไป,0
สานา ม.3 คลองใหม่,43.0,7000.0,อาชีพอิสระ/งานบริการ,0
กาแลสนอ,37.0,8500.0,ไม่ระบุอาชีพ,0
คลองใหม่อามานะห์,53.0,10000.0,เกษตรกรรม,0
ดูซงปาแย ตะวันตก,40.0,5000.0,รับจ้าง/ลูกจ้างทั่วไป,0
สปันยังแบปา,61.0,50000.0,ค้าขาย/ธุรกิจส่วนตัว,0
ตอหลัง,67.0,10000.0,เกษตรกรรม,0
ตูเวาะจะรัง,43.0,7960.0,ข้าราชการ/รัฐวิสาหกิจ,1
บางมะรวด,42.0,9000.0,ค้าขาย/ธุรกิจส่วนตัว,0
บูดี,49.0,4000.0,เกษตรกรรม,0
บูโละมีเยาะ,48.0,15000.0,รับจ้าง/ลูกจ้างทั่วไป,0
ม่วงเตี้ยอามานะห์,57.0,30000.0,รับจ้าง/ลูกจ้างทั่วไป,0
รัศมีภักดี,44.0,7000.0,เกษตรกรรม,0
อิบนูฮาโมนิค,41.0,16000.0,ข้าราชการ/รัฐวิสาหกิจ,1
อุควะฮฺ ฮาโมนิค,42.0,15000.0,รับจ้าง/ลูกจ้างทั่วไป,0
ยะรังอามานะห์,37.0,8500.0,ไม่ระบุอาชีพ,0
บารอกัต อามานะห์,42.0,15000.0,เกษตรกรรม,0
วันสต๊อป เซ็นเดอร์ (Osc),37.0,8500.0,ไม่ระบุอาชีพ,0
